x,y
1,99
2,196
3,291
4,384
5,475
6,564
7,651
8,736
9,819
10,900
11,979
12,1056
13,1131
14,1204
15,1275
16,1344
17,1411
18,1476
19,1539
20,1600
21,1659
22,1716
23,1771
24,1824
25,1875
26,1924
27,1971
28,2016
29,2059
30,2100
31,2139
32,2176
33,2211
34,2244
35,2275
36,2304
37,2331
38,2356
39,2379
40,2400
41,2419
42,2436
43,2451
44,2464
45,2475
46,2484
47,2491
48,2496
49,2499
50,2500
51,2499
52,2496
53,2491
54,2484
55,2475
56,2464
57,2451
58,2436
59,2419
60,2400
61,2379
62,2356
63,2331
64,2304
65,2275
66,2244
67,2211
68,2176
69,2139
70,2100
71,2059
72,2016
73,1971
74,1924
75,1875
76,1824
77,1771
78,1716
79,1659
80,1600
81,1539
82,1476
83,1411
84,1344
85,1275
86,1204
87,1131
88,1056
89,979
90,900
91,819
92,736
93,651
94,564
95,475
96,384
97,291
98,196
99,99
100,0
